trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","20","0006","6 | Saint-Jacques Morinais","0","1012124"
"21898","6","0003","3 | Saint-Laurent","1","1050820"
"21899","7","0003","3 | Saint-Laurent","1","1054254"
"219","22","0006","6 | Cesson-Sévigné Base de Loisirs","1","1012297"
"2190","27","0032","32 | Triangle","0","1045901"
"21900","6","0003","3 | Henri Fréville","0","1050820"
"21901","7","0003","3 | Henri Fréville","0","1054254"
"21902","6","0003","3 | Henri Fréville","0","1050820"
"21903","7","0003","3 | Henri Fréville","0","1054254"
"21904","6","0003","3 | Henri Fréville","0","1050820"
"21905","7","0003","3 | Henri Fréville","0","1054254"
"21906","6","0003","3 | Henri Fréville","0","1050820"
"21907","7","0003","3 | Henri Fréville","0","1054254"
"21908","6","0003","3 | Henri Fréville","0","1050819"
"21909","7","0003","3 | Henri Fréville","0","1054253"
"2191","20","0032","32 | Triangle","0","1011901"
"21910","6","0003","3 | Henri Fréville","0","1050819"
"21911","7","0003","3 | Henri Fréville","0","1054253"
"21912","6","0003","3 | Henri Fréville","0","1050819"
"21913","7","0003","3 | Henri Fréville","0","1054253"
"21914","6","0003","3 | Saint-Laurent","1","1050819"
"21915","7","0003","3 | Saint-Laurent","1","1054253"
"21916","6","0003","3 | Saint-Laurent","1","1050819"
"21917","7","0003","3 | Saint-Laurent","1","1054253"
"21918","6","0003","3 | Saint-Laurent","1","1050819"
"21919","7","0003","3 | Saint-Laurent","1","1054253"
"2192","21","0032","32 | Triangle","0","1004484"
"21920","6","0003","3 | Saint-Laurent","1","1050814"
"21921","7","0003","3 | Saint-Laurent","1","1054248"
"21922","6","0003","3 | Henri Fréville","0","1050814"
"21923","7","0003","3 | Henri Fréville","0","1054248"
"21924","6","0003","3 | Henri Fréville","0","1050817"
"21925","7","0003","3 | Henri Fréville","0","1054251"
"21926","6","0003","3 | Saint-Laurent","1","1050820"
"21927","7","0003","3 | Saint-Laurent","1","1054254"
"21928","6","0003","3 | Henri Fréville","0","1050819"
"21929","7","0003","3 | Henri Fréville","0","1054253"
"2193","22","0032","32 | Triangle","0","1012135"
"21930","6","0003","3 | Saint-Laurent","1","1050817"
"21931","7","0003","3 | Saint-Laurent","1","1054251"
"21932","20","0033","33 | Chantepie Cucé","1","1012006"
"21933","21","0033","33 | Chantepie Cucé","1","1004939"
"21934","22","0033","33 | Chantepie Cucé","1","1012240"
"21935","23","0033","33 | Chantepie Cucé","1","1012750"
"21936","25","0033","33 | Chantepie Cucé","1","1054088"
